,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
293,20110323,000300.SH,3264.926
294,20110324,000300.SH,3251.361
295,20110325,000300.SH,3294.484
296,20110328,000300.SH,3290.571
297,20110329,000300.SH,3257.979
298,20110330,000300.SH,3256.08
299,20110331,000300.SH,3223.288
300,20110401,000300.SH,3272.729
301,20110406,000300.SH,3311.067
302,20110407,000300.SH,3324.419
303,20110408,000300.SH,3353.358
304,20110411,000300.SH,3333.427
305,20110412,000300.SH,3326.771
306,20110413,000300.SH,3372.031
307,20110414,000300.SH,3353.56
308,20110415,000300.SH,3358.944
309,20110418,000300.SH,3359.438
310,20110419,000300.SH,3295.812
311,20110420,000300.SH,3295.758
312,20110421,000300.SH,3317.367
313,20110422,000300.SH,3299.942
314,20110425,000300.SH,3249.574
315,20110426,000300.SH,3230.96
316,20110427,000300.SH,3209.503
317,20110428,000300.SH,3161.776
318,20110429,000300.SH,3192.723
319,20110503,000300.SH,3211.132
320,20110504,000300.SH,3129.028
321,20110505,000300.SH,3126.117
322,20110506,000300.SH,3121.396
323,20110509,000300.SH,3129.759
324,20110510,000300.SH,3153.221
325,20110511,000300.SH,3145.085
326,20110512,000300.SH,3101.603
327,20110513,000300.SH,3128.093
328,20110516,000300.SH,3100.463
329,20110517,000300.SH,3116.028
330,20110518,000300.SH,3139.379
331,20110519,000300.SH,3120.639
332,20110520,000300.SH,3121.596
333,20110523,000300.SH,3022.98
334,20110524,000300.SH,3026.223
335,20110525,000300.SH,2990.343
336,20110526,000300.SH,2978.381
337,20110527,000300.SH,2963.308
338,20110530,000300.SH,2954.506
339,20110531,000300.SH,3001.556
340,20110601,000300.SH,3004.173
341,20110602,000300.SH,2955.705
342,20110603,000300.SH,2986.349
343,20110607,000300.SH,3004.262
344,20110608,000300.SH,3008.652
345,20110609,000300.SH,2951.889
346,20110610,000300.SH,2961.932
347,20110613,000300.SH,2950.348
348,20110614,000300.SH,2993.559
349,20110615,000300.SH,2963.119
350,20110616,000300.SH,2917.578
351,20110617,000300.SH,2892.157
352,20110620,000300.SH,2874.896
353,20110621,000300.SH,2909.073
354,20110622,000300.SH,2908.582
355,20110623,000300.SH,2957.629
356,20110624,000300.SH,3027.47
357,20110627,000300.SH,3036.491
358,20110628,000300.SH,3041.734
359,20110629,000300.SH,3000.169
360,20110630,000300.SH,3044.089
361,20110701,000300.SH,3049.745
362,20110704,000300.SH,3121.98
363,20110705,000300.SH,3122.5
364,20110706,000300.SH,3113.712
365,20110707,000300.SH,3101.68
366,20110708,000300.SH,3109.183
367,20110711,000300.SH,3113.206
368,20110712,000300.SH,3056.905
369,20110713,000300.SH,3106.247
370,20110714,000300.SH,3115.745
371,20110715,000300.SH,3128.889
372,20110718,000300.SH,3122.6
373,20110719,000300.SH,3095.125
374,20110720,000300.SH,3091.567
375,20110721,000300.SH,3059.139
376,20110722,000300.SH,3067.985
377,20110725,000300.SH,2968.289
378,20110726,000300.SH,2977.766
379,20110727,000300.SH,3000.052
380,20110728,000300.SH,2981.002
381,20110729,000300.SH,2972.079
382,20110801,000300.SH,2977.721
383,20110802,000300.SH,2956.383
384,20110803,000300.SH,2954.87
385,20110804,000300.SH,2960.309
386,20110805,000300.SH,2897.417
387,20110808,000300.SH,2793.897
388,20110809,000300.SH,2798.19
389,20110810,000300.SH,2824.12
390,20110811,000300.SH,2866.924
391,20110812,000300.SH,2875.365
392,20110815,000300.SH,2917.883
393,20110816,000300.SH,2897.581
394,20110817,000300.SH,2886.013
395,20110818,000300.SH,2834.254
396,20110819,000300.SH,2807.664
397,20110822,000300.SH,2777.787
398,20110823,000300.SH,2821.003
399,20110824,000300.SH,2810.016
400,20110825,000300.SH,2903.837
401,20110826,000300.SH,2901.216
402,20110829,000300.SH,2852.809
403,20110830,000300.SH,2841.74
404,20110831,000300.SH,2846.776
405,20110901,000300.SH,2834.535
406,20110902,000300.SH,2803.854
407,20110905,000300.SH,2743.817
408,20110906,000300.SH,2723.303
409,20110907,000300.SH,2779.09
410,20110908,000300.SH,2756.105
411,20110909,000300.SH,2751.095
412,20110913,000300.SH,2720.283
413,20110914,000300.SH,2733.108
414,20110915,000300.SH,2729.051
415,20110916,000300.SH,2733.987
416,20110919,000300.SH,2679.27
417,20110920,000300.SH,2689.845
418,20110921,000300.SH,2771.011
419,20110922,000300.SH,2685.688
420,20110923,000300.SH,2669.478
421,20110926,000300.SH,2610.919
422,20110927,000300.SH,2637.879
423,20110928,000300.SH,2610.59
424,20110929,000300.SH,2588.185
425,20110930,000300.SH,2581.351
426,20111010,000300.SH,2557.082
427,20111011,000300.SH,2551.994
428,20111012,000300.SH,2644.758
429,20111013,000300.SH,2662.601
430,20111014,000300.SH,2653.782
431,20111017,000300.SH,2666.951
432,20111018,000300.SH,2592.209
433,20111019,000300.SH,2583.081
434,20111020,000300.SH,2520.532
435,20111021,000300.SH,2507.877
436,20111024,000300.SH,2576.669
437,20111025,000300.SH,2625.425
438,20111026,000300.SH,2651.652
439,20111027,000300.SH,2657.478
440,20111028,000300.SH,2709.017
441,20111031,000300.SH,2695.307
442,20111101,000300.SH,2697.534
443,20111102,000300.SH,2742.39
444,20111103,000300.SH,2744.301
445,20111104,000300.SH,2763.746
446,20111107,000300.SH,2736.248
447,20111108,000300.SH,2727.71
448,20111109,000300.SH,2751.654
449,20111110,000300.SH,2699.588
450,20111111,000300.SH,2695.002
451,20111114,000300.SH,2750.195
452,20111115,000300.SH,2744.68
453,20111116,000300.SH,2670.116
454,20111117,000300.SH,2662.017
455,20111118,000300.SH,2606.495
456,20111121,000300.SH,2609.687
457,20111122,000300.SH,2609.475
458,20111123,000300.SH,2584.011
459,20111124,000300.SH,2588.915
460,20111125,000300.SH,2569.973
461,20111128,000300.SH,2573.321
462,20111129,000300.SH,2608.569
463,20111130,000300.SH,2521.52
464,20111201,000300.SH,2583.613
465,20111202,000300.SH,2557.311
466,20111205,000300.SH,2521.385
467,20111206,000300.SH,2516.341
468,20111207,000300.SH,2528.228
469,20111208,000300.SH,2525.001
470,20111209,000300.SH,2503.461
471,20111212,000300.SH,2477.692
472,20111213,000300.SH,2421.928
473,20111214,000300.SH,2397.48
474,20111215,000300.SH,2340.788
475,20111216,000300.SH,2390.129
476,20111219,000300.SH,2384.408
477,20111220,000300.SH,2377.073
478,20111221,000300.SH,2339.108
479,20111222,000300.SH,2341.335
480,20111223,000300.SH,2359.159
481,20111226,000300.SH,2335.702
482,20111227,000300.SH,2305.035
483,20111228,000300.SH,2307.928
484,20111229,000300.SH,2311.361
485,20111230,000300.SH,2345.742
486,20120104,000300.SH,2298.753
487,20120105,000300.SH,2276.385
488,20120106,000300.SH,2290.601
489,20120109,000300.SH,2368.57
490,20120110,000300.SH,2447.349
491,20120111,000300.SH,2435.608
492,20120112,000300.SH,2435.219
493,20120113,000300.SH,2394.334
494,20120116,000300.SH,2345.649
495,20120117,000300.SH,2460.601
496,20120118,000300.SH,2422.189
497,20120119,000300.SH,2468.35
498,20120120,000300.SH,2504.086
499,20120130,000300.SH,2460.72
500,20120131,000300.SH,2464.26
501,20120201,000300.SH,2428.994
502,20120202,000300.SH,2486.238
503,20120203,000300.SH,2506.09
504,20120206,000300.SH,2504.322
505,20120207,000300.SH,2457.954
506,20120208,000300.SH,2528.236
507,20120209,000300.SH,2529.231
508,20120210,000300.SH,2533.624
509,20120213,000300.SH,2531.981
510,20120214,000300.SH,2522.107
511,20120215,000300.SH,2549.607
512,20120216,000300.SH,2536.074
